identity_id,identity_dir,num_images_found,num_images_success,num_images_failed,num_templates_added,status,reason
105049,D:\Liang\Pcode\Face Recognition System\identities\105049,,,,15,skipped,already_exists_in_gallery
105051,D:\Liang\Pcode\Face Recognition System\identities\105051,,,,15,skipped,already_exists_in_gallery
105052,D:\Liang\Pcode\Face Recognition System\identities\105052,,,,15,skipped,already_exists_in_gallery
105053,D:\Liang\Pcode\Face Recognition System\identities\105053,,,,15,skipped,already_exists_in_gallery
105054,D:\Liang\Pcode\Face Recognition System\identities\105054,,,,15,skipped,already_exists_in_gallery
105055,D:\Liang\Pcode\Face Recognition System\identities\105055,,,,15,skipped,already_exists_in_gallery
105056,D:\Liang\Pcode\Face Recognition System\identities\105056,,,,15,skipped,already_exists_in_gallery
105057,D:\Liang\Pcode\Face Recognition System\identities\105057,,,,15,skipped,already_exists_in_gallery
105058,D:\Liang\Pcode\Face Recognition System\identities\105058,,,,15,skipped,already_exists_in_gallery
105059,D:\Liang\Pcode\Face Recognition System\identities\105059,,,,15,skipped,already_exists_in_gallery
105060,D:\Liang\Pcode\Face Recognition System\identities\105060,,,,15,skipped,already_exists_in_gallery
105061,D:\Liang\Pcode\Face Recognition System\identities\105061,,,,15,skipped,already_exists_in_gallery
105062,D:\Liang\Pcode\Face Recognition System\identities\105062,,,,15,skipped,already_exists_in_gallery
105063,D:\Liang\Pcode\Face Recognition System\identities\105063,,,,15,skipped,already_exists_in_gallery
105064,D:\Liang\Pcode\Face Recognition System\identities\105064,,,,15,skipped,already_exists_in_gallery
105065,D:\Liang\Pcode\Face Recognition System\identities\105065,,,,15,skipped,already_exists_in_gallery
105066,D:\Liang\Pcode\Face Recognition System\identities\105066,,,,15,skipped,already_exists_in_gallery
105067,D:\Liang\Pcode\Face Recognition System\identities\105067,,,,15,skipped,already_exists_in_gallery
105068,D:\Liang\Pcode\Face Recognition System\identities\105068,,,,15,skipped,already_exists_in_gallery
105069,D:\Liang\Pcode\Face Recognition System\identities\105069,,,,15,skipped,already_exists_in_gallery
105070,D:\Liang\Pcode\Face Recognition System\identities\105070,,,,15,skipped,already_exists_in_gallery
105071,D:\Liang\Pcode\Face Recognition System\identities\105071,,,,15,skipped,already_exists_in_gallery
105072,D:\Liang\Pcode\Face Recognition System\identities\105072,,,,15,skipped,already_exists_in_gallery
105073,D:\Liang\Pcode\Face Recognition System\identities\105073,,,,15,skipped,already_exists_in_gallery
106002,D:\Liang\Pcode\Face Recognition System\identities\106002,,,,15,skipped,already_exists_in_gallery
106006,D:\Liang\Pcode\Face Recognition System\identities\106006,,,,15,skipped,already_exists_in_gallery
106012,D:\Liang\Pcode\Face Recognition System\identities\106012,,,,15,skipped,already_exists_in_gallery
106013,D:\Liang\Pcode\Face Recognition System\identities\106013,,,,15,skipped,already_exists_in_gallery
106015,D:\Liang\Pcode\Face Recognition System\identities\106015,,,,15,skipped,already_exists_in_gallery
106016,D:\Liang\Pcode\Face Recognition System\identities\106016,,,,15,skipped,already_exists_in_gallery
106020,D:\Liang\Pcode\Face Recognition System\identities\106020,,,,15,skipped,already_exists_in_gallery
106022,D:\Liang\Pcode\Face Recognition System\identities\106022,,,,15,skipped,already_exists_in_gallery
106023,D:\Liang\Pcode\Face Recognition System\identities\106023,,,,15,skipped,already_exists_in_gallery
106031,D:\Liang\Pcode\Face Recognition System\identities\106031,,,,15,skipped,already_exists_in_gallery
106033,D:\Liang\Pcode\Face Recognition System\identities\106033,,,,15,skipped,already_exists_in_gallery
106034,D:\Liang\Pcode\Face Recognition System\identities\106034,,,,15,skipped,already_exists_in_gallery
106037,D:\Liang\Pcode\Face Recognition System\identities\106037,,,,15,skipped,already_exists_in_gallery
